IR,OR,thickness,CT
21024,21116,92,1672822558
21116,21209,92,1788998196
21209,21301,92,1872637567
21301,21394,92,1958133820
21394,21487,92,2045527119
21487,21580,93,2134858175
21580,21673,93,2226168205
21673,21767,93,2283587506
21767,21860,93,2378754159
21860,21954,93,2476024949
21954,22048,94,2538847645
22048,22142,94,2640225143
22142,22237,94,2706778400
22237,22331,94,2812430582
22331,22426,94,2882878160
22426,22521,94,2992972877
22521,22616,95,3067477487
22616,22711,95,3143952425
22711,22807,95,3260901771
22807,22903,95,3341669959
22903,22999,95,3424521492
22999,23095,96,3548677323
23095,23191,96,3636041579
23191,23287,96,3725590809
23287,23384,96,3817354719
23384,23481,96,3951522295
23481,23578,97,4048041322
23578,23675,97,4146848977
23675,23773,97,4247962627
23773,23870,97,4392551428
23870,23968,97,4498562845
23968,24066,98,4606905189
24066,24165,98,4717574665
24165,24263,98,4830560276
24263,24362,98,4945842868
24362,24460,98,5106077060
24460,24559,99,5226116674
24559,24659,99,5348336600
24659,24758,99,5472672811
24758,24858,99,5599046135
24858,24957,99,5727360232
24957,25058,100,5857499272
25058,25158,100,5989325261
25158,25258,100,6122674947
25258,25359,100,6257356205
25359,25460,100,6438468709
25460,25561,101,6575370277
25561,25662,101,6712808542
25662,25763,101,6850424591
25763,25865,101,6987799224
25865,25967,101,7124441909
25967,26069,102,7259776796
26069,26171,102,7393124619
26171,26273,102,7523678650
26273,26376,102,7650471712
26376,26479,102,7772329098
26479,26582,103,7887798293
26582,26685,103,7995039709
26685,26789,103,8091655045
26789,26892,103,8174367192
26892,26996,103,8234683496
26996,27100,104,8246266472
27100,27205,104,8232955554
27205,27309,104,8153506904
27309,27414,104,8111457805
27414,27519,104,8058908154
27519,27624,105,7997563992
27624,27729,105,7928787920
27729,27835,105,7853699437
27835,27941,105,7773238604
27941,28047,105,7688207928
28047,28153,106,7599301183
28153,28259,106,7507124049
28259,28366,106,7358799621
28366,28473,106,7261310629
28473,28580,107,7161974081
28580,28687,107,7061164804
28687,28794,107,6959218660
28794,28902,107,6856437364
28902,29010,107,6753092491
29010,29118,108,6593829089
29118,29227,108,6489748970
29227,29335,108,6385769062
29335,29444,108,6282069581
29444,29553,108,6178813317
29553,29662,109,6018939493
29662,29771,109,5916670242
29771,29881,109,5815241906
29881,29991,109,5714762095
29991,30101,110,5556806476
30101,30211,110,5458171674
30211,30322,110,5360744726
30322,30433,110,5264594681
30433,30544,110,5109924255
30544,30655,111,5016166491
30655,30766,111,4923847061
30766,30878,111,4772129527
30878,30990,111,4682462719
30990,31102,112,4532775467
31102,31214,112,4445878286
31214,31327,112,4360571900
31327,31439,112,4214265566
31439,31552,112,4131838677
31552,31666,113,3987731018
31666,31779,113,3908218646
31779,31893,113,3766325444
31893,32007,113,3689738002
32007,32121,114,3550052304
32121,32235,114,3411281321
32235,32350,114,3338874879
32350,32464,114,3202264109
32464,32579,115,3066532880
32579,32695,115,2931665424
32695,32810,115,2730718824
32810,32926,115,2529858980
32926,33042,115,2261392498
33042,33158,116,2196340871
33158,33274,116,2132798533
33274,33391,116,2070747580
33391,33508,116,2010169296
33508,33625,117,1951044240
33625,33742,117,1893352328
33742,33860,117,1837072907
33860,33978,117,1782184830
33978,34096,118,1728666514
34096,34214,118,1676496009
34214,34333,118,1625651051
34333,34451,118,1576109118
34451,34570,119,1527847479
34570,34690,119,1480843238
34690,34809,119,1435073380
34809,34929,119,1390514811
34929,35049,119,1347144394
35049,35169,120,1304938984
35169,35289,120,1263875461
35289,35410,120,1223930758
35410,35531,120,1185081891
35531,35652,121,1147305980
35652,35774,121,1110580280
35774,35895,121,1074882192
35895,36017,121,1040189295
36017,36139,122,1006479352
36139,36262,122,973730338
36262,36384,122,941920446
36384,36507,122,911028106
36507,36630,123,881031997
36630,36754,123,851911056
36754,36877,123,823644491
36877,37001,123,796211788
37001,37125,124,769592721
37125,37250,124,743767357
37250,37374,124,718716065
37374,37499,124,694419518
37499,37624,125,670858702
37624,37749,125,648014917
37749,37875,125,625869779
37875,38001,125,604405227
38001,38127,126,583603521
38127,38253,126,563447246
38253,38380,126,543919313
38380,38507,126,525002956
38507,38634,127,506681736
38634,38761,127,488939540
38761,38889,127,471760578
38889,39017,127,455129384
39017,39145,128,439030812
39145,39273,128,423450037
39273,39402,128,408372554
39402,39531,128,393784169
39531,39660,129,379671003
39660,39790,129,366019488
39790,39919,129,352816360
39919,40049,129,340048660
40049,40179,130,327703730
40179,40310,130,315769207
40310,40441,130,304233020
40441,40572,130,293083391
40572,40703,131,282308821
40703,40834,131,271898097
40834,40966,131,261840280
40966,41098,132,252124704
41098,41230,132,242740972
41230,41363,132,233678948
41363,41496,132,224928760
41496,41629,133,216480786
41629,41762,133,208325659
41762,41896,133,200454253
41896,42030,133,192857687
42030,42164,134,185527316
42164,42298,134,178454727
42298,42433,134,171631734
42433,42568,134,165050375
42568,42703,135,158702907
42703,42839,135,152581800
42839,42974,135,146679736
42974,43111,136,140989598
43111,43247,136,135504475
43247,43383,136,130217649
43383,43520,136,125122595
43520,43657,137,120212975
43657,43795,137,115482636
43795,43933,137,110925603
43933,44071,137,106536077
44071,44209,138,102308430
44209,44347,138,98237199
44347,44486,138,94317087
44486,44625,139,90542954
44625,44765,139,86909814
44765,44904,139,83412836
44904,45044,139,80047331
45044,45184,140,76808759
45184,45325,140,73692716
45325,45465,140,70694937
45465,45607,141,67811288
45607,45748,141,65037766
45748,45889,141,62370493
45889,46031,141,59805713
46031,46173,142,57339791
46173,46316,142,54969206
46316,46459,142,52690553
46459,46602,143,50500533
46602,46745,143,48395957
46745,46889,143,46373737
46889,47032,143,44430889
47032,47177,144,42564525
47177,47321,144,40771852
47321,47466,144,39050170
47466,47611,145,37396870
47611,47756,145,35809429
47756,47902,145,34285408
47902,48048,145,32822453
48048,48194,146,31418286
48194,48340,146,30070710
48340,48487,146,28777600
48487,48634,147,27536906
48634,48782,147,26346648
48782,48929,147,25204915
48929,49077,147,24109860
49077,49225,148,23059703
49225,49374,148,22052726
49374,49523,148,21087270
49523,49672,149,20161735
49672,49821,149,19274579
49821,49971,149,18424313
49971,50121,150,17609503
50121,50272,150,16828763
50272,50422,150,16080762
50422,50573,150,15364212
50573,50724,151,14677875
50724,50876,151,14020557
50876,51028,151,13391107
51028,51180,152,12788418
51180,51332,152,12211421
51332,51485,152,11659088
51485,51638,153,11130431
51638,51792,153,10624494
51792,51945,153,10140361
51945,52099,153,9677149
52099,52254,154,9234007
52254,52408,154,8810118
52408,52563,154,8404695
52563,52718,155,8016980
52718,52874,155,7646246
52874,53030,155,7291791
53030,53186,156,6952943
53186,53342,156,6629054
53342,53499,156,6319502
53499,53656,157,6023688
53656,53814,157,5741037
53814,53971,157,5470996
53971,54129,158,5213035
54129,54288,158,4966644
54288,54447,158,4731331
54447,54606,158,4506628
54606,54765,159,4292082
54765,54924,159,4087260
54924,55084,159,3891743
55084,55245,160,3705134
55245,55405,160,3527048
55405,55566,160,3357116
55566,55727,161,3194986
55727,55889,161,3040318
55889,56051,161,2892788
56051,56213,162,2752083
56213,56376,162,2617904
56376,56538,162,2489965
56538,56702,163,2367990
56702,56865,163,2251716
56865,57029,163,2140890
57029,57193,164,2035270
57193,57358,164,1934625
57358,57522,164,1838731
57522,57688,165,1747376
57688,57853,165,1660357
57853,58019,165,1577477
58019,58185,166,1498550
58185,58351,166,1423396
58351,58518,166,1351845
58518,58685,167,1283732
58685,58853,167,1218900
58853,59021,167,1157198
59021,59189,168,1098484
59189,59357,168,1042619
59357,59526,168,989473
59526,59695,169,938918
59695,59865,169,890835
59865,60035,169,845109
60035,60205,170,801630
60205,60375,170,760292
60375,60546,170,720996
60546,60717,171,683645
60717,60889,171,648147
60889,61061,171,614415
61061,61233,172,582365
61233,61405,172,551917
61405,61578,172,522995
61578,61752,173,495526
61752,61925,173,469440
61925,62099,173,444670
62099,62274,174,421154
62274,62448,174,398831
62448,62623,174,377642
62623,62799,175,357534
62799,62974,175,338453
62974,63150,176,320349
63150,63327,176,303175
63327,63503,176,286884
63503,63681,177,271434
63681,63858,177,256783
63858,64036,177,242891
64036,64214,178,229721
64214,64392,178,217237
64392,64571,178,205405
64571,64751,179,194192
64751,64930,179,183567
64930,65110,179,173500
65110,65291,180,163965
65291,65471,180,154933
65471,65652,181,146379
65652,65834,181,138280
65834,66015,181,130612
66015,66198,182,123352
66198,66380,182,116481
66380,66563,182,109978
66563,66746,183,103824
66746,66930,183,98001
66930,67114,183,92493
67114,67298,184,87283
67298,67483,184,82355
67483,67668,185,77695
67668,67853,185,73289
67853,68039,185,69124
68039,68225,186,65187
68225,68412,186,61465
68412,68599,186,57949
68599,68786,187,54626
68786,68974,187,51486
68974,69162,188,48521
69162,69350,188,45720
69350,69539,188,43075
69539,69728,189,40578
69728,69918,189,38220
69918,70108,189,35994
70108,70298,190,33893
70298,70489,190,31911
70489,70680,191,30040
70680,70871,191,28275
70871,71063,191,26610
71063,71255,192,25040
71255,71448,192,23559
71448,71641,192,22163
71641,71834,193,20846
71834,72028,193,19605
72028,72222,194,18435
72222,72417,194,17333
72417,72612,194,16294
72612,72807,195,15316
72807,73003,195,14394
73003,73199,196,13526
73199,73395,196,12708
73395,73592,196,11938
73592,73789,197,11213
73789,73987,197,10531
73987,74185,198,9889
74185,74384,198,9284
74384,74583,198,8716
74583,74782,199,8181
74782,74981,199,7677
74981,75182,200,7204
